Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Cholesterol Homeostasis	26/74	3.810606e-06	1.732094e-05	0	0	3.357629e+00	4.189556e+01	ERRFI1;IDI1;LPL;HMGCR;GNAI1;ACTG1;FADS2;LGALS3;PMVK;PDK3;GUSB;S100A11;FDFT1;GSTM2;HMGCS1;ANXA5;CYP51A1;SREBF2;PNRC1;SCD;FASN;CTNNB1;TRIB3;DHCR7;CPEB2;LGMN
MSigDB_Hallmark_2020	Apoptosis	44/161	6.160938e-06	2.567057e-05	0	0	2.336957e+00	2.803713e+01	IFITM3;TOP2A;APP;BTG2;NEDD9;PSEN1;BRCA1;RELA;LGALS3;PAK1;CCND1;LMNA;HMOX1;TSPO;SPTAN1;IER3;MCL1;BNIP3L;JUN;CREBBP;GSTM1;GPX1;GSN;GADD45B;GADD45A;GPX3;IFNB1;HGF;MMP2;TAP1;CFLAR;SOD2;IGF2R;PTK2;DNAJA1;WEE1;FEZ1;IRF1;MADD;TXNIP;CTNNB1;ETF1;DAP3;BCL2L1
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	32/105	1.001032e-05	3.647749e-05	0	0	2.719173e+00	3.130283e+01	GSK3B;CAB39;YWHAB;UBE2D3;CLTC;ITPR2;EGFR;HSP90B1;RPTOR;RPS6KA3;TBK1;PPP2R1B;ARHGDIA;RPS6KA1;MKNK2;RIPK1;SFN;PLCG1;RAC1;PAK4;SMAD2;ACTR2;PTPN11;TIAM1;PIKFYVE;RIT1;ARPC3;CSNK2B;CDK1;PIN1;TRIB3;RAF1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	51/200	1.021370e-05	3.647749e-05	0	0	2.128437e+00	2.445953e+01	BTG2;B4GALT1;TNC;TNFAIP2;RNF19B;IRS2;IFIT2;IFIH1;CCND1;NAMPT;JUNB;IER3;IL15RA;DUSP5;DDX58;TAP1;GEM;TUBB2A;IRF1;SGK1;IL6ST;NFAT5;CEBPB;PFKFB3;RELA;SOCS3;DNAJB4;HES1;MCL1;ABCA1;EGR1;JUN;EGR2;SMAD3;GADD45B;GADD45A;GFPT2;CFLAR;SOD2;KLF4;PNRC1;KLF2;EHD1;PER1;PTPRE;KLF6;MARCKS;BCL6;KLF9;PTX3;NFE2L2
MSigDB_Hallmark_2020	Myc Targets V2	21/58	1.885493e-05	6.284978e-05	0	0	3.514089e+00	3.822884e+01	NOP56;DDX18;NPM1;NIP7;PLK1;PPAN;IMP4;NOC4L;PA2G4;HK2;TBRG4;HSPD1;BYSL;LAS1L;GRWD1;MRTO4;MCM4;MCM5;UTP20;MAP3K6;FARSA
MSigDB_Hallmark_2020	DNA Repair	40/150	2.963593e-05	9.261228e-05	0	0	2.257345e+00	2.353626e+01	POM121;FEN1;PCNA;ARL6IP1;GTF3C5;CSTF3;CETN2;USP11;TAF9;POLB;SDCBP;POLD4;POLR2A;POLR2D;NELFB;POLR2G;NELFCD;SF3A3;DUT;ALYREF;RPA2;GTF2H1;SSRP1;SUPT5H;SMAD5;NT5C3A;DDB1;POLA1;NUDT21;DAD1;POLR3C;ERCC1;RPA3;IMPDH2;ERCC2;POLR1D;CMPK2;TAF6;SRSF6;ITPA
MSigDB_Hallmark_2020	Glycolysis	49/200	4.641269e-05	1.365079e-04	0	0	2.016176e+00	2.011728e+01	B4GALT1;CHPF;CITED2;ZNF292;HDLBP;PLOD2;IRS2;PYGL;PLOD1;HS6ST2;HK2;GYS1;DPYSL4;CAPN5;PDK3;QSOX1;SOX9;GUSB;IER3;CHPF2;AKR1A1;SDHC;ALG1;MIF;TPST1;VCAN;DDIT4;KIF20A;ANGPTL4;ALDOA;PFKFB1;COPB2;ABCB6;RPE;TXN;EGFR;PPP2CB;GPC1;HSPA5;AGL;GFPT1;ECD;EXT2;NASP;PSMC4;CDK1;TGFBI;PAM;PFKP
MSigDB_Hallmark_2020	Complement	47/200	1.901785e-04	5.004697e-04	0	0	1.906991e+00	1.633823e+01	CEBPB;GMFB;LRP1;DOCK9;C1R;GNAI3;PSEN1;LIPA;GNAI2;DOCK10;LGALS3;PPP2CB;VCPIP1;PPP4C;PCLO;LAMP2;JAK2;SH2B3;CTSC;DUSP5;APOBEC3F;APOBEC3G;GCA;HSPA5;ERAP2;ACTN2;ANXA5;FN1;CP;DUSP6;PSMB9;EHD1;COL4A2;GPD2;GNB2;IRF1;GNB4;IRF7;SERPING1;CALM3;LAP3;CALM1;CD46;RAF1;L3MBTL4;LGMN;HSPA1A
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	47/200	1.901785e-04	5.004697e-04	0	0	1.906991e+00	1.633823e+01	TAGLN;COPA;SERPINE2;ITGB5;MCM7;LRP1;TNC;HTRA1;PLOD2;PLOD1;PVR;NID2;LOXL2;CALD1;GPC1;SERPINH1;FLNA;QSOX1;ITGAV;SLIT2;MEST;TGM2;IL32;JUN;POSTN;GADD45B;CADM1;TPM4;DST;GADD45A;TPM2;MMP2;TPM1;FN1;DKK1;GEM;ACTA2;VCAN;COL4A2;COL6A2;PTX3;TGFBI;VIM;MYL9;FERMT2;MATN3;MATN2
MSigDB_Hallmark_2020	Androgen Response	27/100	4.433728e-04	1.108432e-03	0	0	2.290156e+00	1.768253e+01	IDI1;B4GALT1;INSIG1;GNAI3;HMGCR;NDRG1;MYL12A;RPS6KA3;CCND1;ZMIZ1;PTK2B;ITGAV;B2M;FADS1;HMGCS1;XRCC5;TMEM50A;ELOVL5;ACTN1;NCOA4;DHCR24;ACSL3;PA2G4;APPBP2;SCD;CENPN;SGK1
MSigDB_Hallmark_2020	TGF-beta Signaling	17/54	7.676712e-04	1.827789e-03	0	0	2.840641e+00	2.037350e+01	BCAR3;ACVR1;SMAD1;WWTR1;BMPR2;SMAD3;HDAC1;UBE2D3;RHOA;SKI;TJP1;CDK9;APC;CTNNB1;JUNB;SPTBN1;TRIM33
MSigDB_Hallmark_2020	UV Response Up	35/158	3.389819e-03	7.704135e-03	0	0	1.761876e+00	1.001975e+01	FEN1;BTG2;CNP;RPN1;AMD1;TGFBRAP1;HNRNPU;DDX21;CLCN2;HSPA13;STIP1;DNAJB1;HMOX1;JUNB;YKT6;GPX3;SIGMAR1;TAP1;ASNS;HSPA2;HLA-F;MAPK8IP2;SOD2;TUBA4A;PTPRD;DNAJA1;EIF2S3;EIF5;PSMC3;PRPF3;IRF1;TMBIM6;NPTXR;IL6ST;ALDOA
MSigDB_Hallmark_2020	Hypoxia	42/200	4.057357e-03	8.820341e-03	0	0	1.646710e+00	9.068802e+00	ERRFI1;KDM3A;PFKFB3;CITED2;ZNF292;HEXA;HDLBP;IRS2;NDRG1;EGFR;HK2;HK1;GYS1;PRDX5;DPYSL4;GPC1;PDK3;HMOX1;IDS;IER3;TGM2;BNIP3L;JUN;ANXA2;HSPA5;PRKCA;MIF;KLHL24;CP;PNRC1;KLF7;PFKL;KLF6;PPP1R3C;DDIT4;MYH9;ANGPTL4;TGFBI;ALDOA;PAM;GAPDH;PFKP
MSigDB_Hallmark_2020	Myogenesis	40/200	1.139610e-02	2.279221e-02	0	0	1.547386e+00	6.923752e+00	EIF4A2;APP;TAGLN;ITGB5;FHL1;MYL6B;CNN3;ABLIM1;DMD;MYH11;CKB;NOS1;SPTAN1;WWTR1;SVIL;NQO1;GSN;GADD45B;ATP6AP1;ACTN2;TPM3;GPX3;AGL;TPM2;IFRD1;PDE4DIP;SORBS1;MYL4;GNAO1;ACTA1;RIT1;ACTC1;KLF5;PPP1R3C;COL4A2;SCD;COL6A2;MYH9;LPIN1;PFKM
MSigDB_Hallmark_2020	heme Metabolism	40/200	1.139610e-02	2.279221e-02	0	0	1.547386e+00	6.923752e+00	BTG2;ALDH1L1;ABCB6;EPB41;DCUN1D1;TRAK2;AGPAT4;SPTA1;SDCBP;SEC14L1;RNF19A;CDC27;LAMP2;BTRC;RBM5;ATP6V0A1;BNIP3L;ARHGEF12;RIOK3;SMOX;EIF2AK1;NCOA4;NEK7;ASNS;RAD23A;GAPVD1;SPTB;KLF3;KLF1;MYL4;RNF123;DAAM1;ARL2BP;MKRN1;CAT;RANBP10;LPIN2;OPTN;EZH1;PICALM
MSigDB_Hallmark_2020	Hedgehog Signaling	10/36	2.242773e-02	4.313026e-02	0	0	2.373453e+00	9.013084e+00	TLE3;TLE1;HEY1;DPYSL2;PTCH1;SLIT1;CRMP1;MYH9;UNC5C;PML
MSigDB_Hallmark_2020	Adipogenesis	38/200	2.861714e-02	5.299470e-02	0	0	1.450644e+00	5.155226e+00	SLC27A1;MTCH2;ECHS1;PFKFB3;LPL;BAZ2A;UQCR10;COX6A1;TOB1;UBC;G3BP2;UBQLN1;MAP4K3;YWHAG;DECR1;ABCA1;BCKDHA;GADD45A;RIOK3;GPX3;IMMT;SDHC;CMBL;SORBS1;DNAJC15;ACLY;POR;PFKL;BCL6;ACOX1;GPD2;CAT;NMT1;ANGPTL4;ESYT1;DHCR7;ALDOA;TKT
MSigDB_Hallmark_2020	Fatty Acid Metabolism	31/158	3.014550e-02	5.383125e-02	0	0	1.508827e+00	5.283490e+00	IDI1;ACADVL;ECHS1;ECI2;ODC1;RAP1GDS1;HSD17B4;UBE2L6;HCCS;HSD17B10;PTPRG;CRYZ;NBN;GLUL;DECR1;YWHAH;CPT1A;HSP90AA1;HMGCS1;ELOVL5;SDHC;ACSL4;DHCR24;MIF;UGDH;ACOX1;GPD2;FASN;APEX1;ERP29;ALDOA
MSigDB_Hallmark_2020	Estrogen Response Early	37/200	4.346452e-02	7.493883e-02	0	0	1.403212e+00	4.400208e+00	B4GALT1;RHOBTB3;ADD3;CELSR2;TOB1;AFF1;SEC14L2;ABLIM1;CALCR;CCND1;ALDH3B1;SFN;FLNB;HES1;JAK2;FDFT1;MICB;TGM2;FARP1;SVIL;TFAP2C;KDM4B;ELOVL5;ELOVL2;AMFR;KAZN;KLF4;IL17RB;TIAM1;TUBB2B;ELF1;FASN;DLC1;UNC119;DHCR7;IL6ST;PTGES
MSigDB_Hallmark_2020	Pperoxisome	21/104	5.026322e-02	8.377203e-02	0	0	1.562324e+00	4.672102e+00	TOP2A;IDI1;ABCD3;CADM1;ELOVL5;ECI2;HSD17B4;ACSL4;DHCR24;SOD2;PRDX5;MSH2;ACOX1;PRDX1;PEX6;ERCC1;CAT;TSPO;PABPC1;FADS1;YWHAH
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	36/199	6.043812e-02	9.748083e-02	0	0	1.364793e+00	3.829793e+00	IFITM3;CYFIP1;RNH1;BMPR2;AHNAK;RGS16;ODC1;AHR;LCLAT1;NDRG1;PDCD2L;HK2;SPRED2;GLIPR2;NFKBIZ;ITGAV;GBP4;WLS;TGM2;POU2F1;GADD45B;ANXA4;SWAP70;PTCH1;HUWE1;RHOH;ETV4;IGF2R;SERPINB6;TIAM1;MYO1E;KLF6;SNX14;COL6A1;BCL2L1;PLEC
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	11/49	7.198434e-02	1.124755e-01	0	0	1.785729e+00	4.698801e+00	NQO1;ABCC1;SBNO2;GPX3;PRDX1;CAT;ERCC2;TXN;SOD2;JUNB;PFKP
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	9/42	1.228941e-01	1.862031e-01	0	0	1.681704e+00	3.525579e+00	NCSTN;HEY1;PTCH1;AXIN1;NUMB;CTNNB1;CSNK1E;DKK1;GNAI1
MSigDB_Hallmark_2020	p53 Pathway	34/200	1.283761e-01	1.887884e-01	0	0	1.264536e+00	2.595829e+00	CYFIP2;APP;POM121;BTG2;STEAP3;PCNA;ABHD4;RGS16;RPS27L;RNF19B;SLC3A2;NDRG1;TOB1;RRP8;ZFP36L1;SERTAD3;MKNK2;KIF13B;HMOX1;SFN;IER3;PLK3;JUN;PRMT2;GADD45A;DCXR;DNTTIP2;TAP1;KLF4;PTPRE;DDIT4;TXNIP;TRIB3;NUPR1
MSigDB_Hallmark_2020	UV Response Dn	25/144	1.455702e-01	2.079574e-01	0	0	1.296391e+00	2.498271e+00	YTHDC1;CITED2;INSIG1;ADD3;SYNE1;NIPBL;ZMIZ1;SPOP;APBB2;PIAS3;ABCC1;SMAD3;IGFBP5;ANXA2;ANXA4;NEK7;ATRX;PRKCA;NR1D2;CDC42BPA;MAPK14;VAV2;TJP1;MAP1B;DLC1
MSigDB_Hallmark_2020	Bile Acid Metabolism	19/112	2.138727e-01	2.970454e-01	0	0	1.259893e+00	1.943227e+00	ABCA1;BCAR3;IDI1;ABCD3;PEX19;ABCA6;PNPLA8;PIPOX;HSD17B4;DHCR24;KLF1;FADS2;PRDX5;NPC1;PEX6;CAT;PFKM;FADS1;OPTN
MSigDB_Hallmark_2020	Angiogenesis	7/36	2.305102e-01	3.115003e-01	0	0	1.487683e+00	2.183115e+00	APP;POSTN;VCAN;LPL;ITGAV;PTK2;VAV2
MSigDB_Hallmark_2020	Xenobiotic Metabolism	31/200	2.938655e-01	3.767507e-01	0	0	1.131064e+00	1.385138e+00	CYFIP2;PSMB10;HMOX1;ASL;ACP2;PTGDS;GSTM4;NQO1;JUP;ELOVL5;SMOX;GSS;GAD1;DCXR;SSR3;DHPS;DHRS1;PGD;UGDH;TPST1;POR;MTHFD1;NPC1;ACOX1;CAT;NMT1;TMBIM6;BCAT1;GART;LPIN2;PTGES
MSigDB_Hallmark_2020	Oxidative Phosphorylation	31/200	2.938655e-01	3.767507e-01	0	0	1.131064e+00	1.385138e+00	ACADVL;ECHS1;HCCS;COX7A2;UQCR10;TCIRG1;COX6A1;HSD17B10;RHOT1;OPA1;MFN2;ATP6V1H;ATP6V1E1;DECR1;BCKDHA;CPT1A;ATP6AP1;NDUFA3;NDUFA1;NDUFC2;IMMT;SDHC;COX6B1;GLUD1;COX7A2L;POR;NDUFS8;NDUFS6;OGDH;UQCRC2;ATP6V0C
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	14/87	3.272955e-01	4.091193e-01	0	0	1.181936e+00	1.320094e+00	ACVRL1;IL15RA;JUN;STAT1;STAT3;PTPN11;OSMR;IL17RB;SOCS3;IRF1;HMOX1;IL6ST;A2M;STAM2
MSigDB_Hallmark_2020	Allograft Rejection	30/200	3.664351e-01	4.468721e-01	0	0	1.087682e+00	1.091961e+00	BRCA1;HIF1A;HDAC9;EGFR;PSMB10;IKBKB;STAT4;FLNA;APBB1;JAK2;GBP2;B2M;RPL39;HLA-DQA1;CD74;NPM1;NOS2;STAT1;TAP2;TAP1;HLA-A;HLA-E;ELF4;IRF7;DEGS1;BCAT1;ABCE1;EIF4G3;EIF3D;EIF3A
MSigDB_Hallmark_2020	Estrogen Response Late	29/200	4.448778e-01	5.296164e-01	0	0	1.044838e+00	8.462723e-01	TOP2A;ADD3;CELSR2;TOB1;AFF1;CALCR;CCND1;ALDH3B1;SFN;FLNB;CKB;JAK2;MEST;FDFT1;MICB;FARP1;TFAP2C;ELOVL5;DCXR;AMFR;KLF4;IL17RB;TIAM1;UGDH;KIF20A;DHCR7;SGK1;IL6ST;PTGES
MSigDB_Hallmark_2020	Spermatogenesis	19/135	5.238914e-01	6.091760e-01	0	0	1.008729e+00	6.521142e-01	TLE4;SLC12A2;GSTM3;HSPA1L;STRBP;GAD1;HSPA2;TSN;MTOR;CCT6B;TUBA3C;CDK1;NOS1;LPIN1;STAM2;ZC3H14;BUB1;EZH2;CDKN3
MSigDB_Hallmark_2020	Apical Surface	6/44	5.914251e-01	6.720739e-01	0	0	9.722872e-01	5.106650e-01	APP;GSTM3;B4GALT1;ADAM10;ATP6V0A4;BRCA1
MSigDB_Hallmark_2020	Coagulation	18/138	6.605652e-01	7.175837e-01	0	0	9.232349e-01	3.828281e-01	GSN;WDR1;LRP1;PEF1;C1R;MMP2;USP11;HTRA1;FN1;DUSP6;KLF7;GNB2;LAMP2;CAPN5;SERPING1;RAC1;A2M;LGMN
MSigDB_Hallmark_2020	Notch Signaling	4/32	6.717946e-01	7.175837e-01	0	0	8.795699e-01	3.498953e-01	CCND1;FBXW11;HES1;PRKCA
MSigDB_Hallmark_2020	Pancreas Beta Cells	5/40	6.745286e-01	7.175837e-01	0	0	8.795267e-01	3.463058e-01	SPCS1;STXBP1;PAK3;SRP9;INS
MSigDB_Hallmark_2020	KRAS Signaling Up	24/200	8.176526e-01	8.517214e-01	0	0	8.383656e-01	1.687779e-01	MTMR10;JUP;GFPT2;RGS16;TOR1AIP2;ETV1;KLF4;ETV4;HDAC9;DUSP6;PSMB8;ETV5;PTBP2;RBM4;GPNMB;KIF5C;TSPAN7;EPB41L3;STRN;SOX9;ANGPTL4;AVL9;TRIB2;EVI5
MSigDB_Hallmark_2020	Inflammatory Response	22/200	9.101060e-01	9.286796e-01	0	0	7.592295e-01	7.151504e-02	ABCA1;RTP4;IL15RA;IFITM1;BTG2;CALCRL;RGS16;GNAI3;EIF2AK2;NMI;AHR;PSEN1;OSMR;HIF1A;PVR;RELA;PTPRE;KLF6;IRF1;NAMPT;IRF7;RAF1
MSigDB_Hallmark_2020	KRAS Signaling Dn	15/200	9.984823e-01	9.984823e-01	0	0	4.966107e-01	7.542855e-04	GAMT;BTG2;RSAD2;GTF3C5;MAST3;MX1;CCDC106;CELSR2;IFI44L;ACTC1;KLHDC8A;ASB7;NOS1;CPEB3;SGK1
