p1 p2 p3 p4 p5 p6 p7 p8
A2601 0.676372064647643 0.726428620064431 0.74971722291606 0.69557819164313 0.718866794494759 0.780567651337361 0.632336888531835 0.477439294070921
A2902 0.623316504216101 0.6373214975523 0.663075176695787 0.654364340086428 0.573677622878326 0.608026790679431 0.62818749114878 0.288286159979499
A3001 0.723056916124247 0.701223850950845 0.730146127595815 0.625373553602637 0.641935129284007 0.591179787465635 0.701223850950845 0.368334954154342
A3002 0.839385448660951 0.833751109261364 0.859947414716007 0.792314861495893 0.843789773744031 0.761088367527317 0.683244828390172 0.319326364195654
A3101 0.553239447667157 0.519528204401287 0.524379996662043 0.501822066964988 0.331219372609895 0.534891457618904 0.506673859225744 0.276269546324728
A3201 0.65472144720637 0.623031337663817 0.61602369594226 0.722478734861817 0.423613008697268 0.740376620536177 0.708655810648654 0.481964930328512
A3301 0.710129396768856 0.838372850452962 0.895518366298769 0.830530450250527 0.671952596362638 0.920906865669774 0.898310060873703 0.150977339285643
A3303 0.676681984764585 0.785761918147277 0.882092315248554 0.72819200203152 0.40118143284006 0.838265352536539 0.834198636593469 0.115510123440107
A3401 0.582001432162824 0.765903771717392 0.843051794747185 0.868348791107274 0.66317525157663 0.876196994328623 0.932877200960716 0.179926280564039
A3402 0.817226606729101 0.821429959486471 0.890095135383672 0.916559456805977 0.817723401870714 0.897684330385661 0.867626502212094 0.411688906229403
A3601 0.877485312691853 0.790447047125887 0.611300022369595 0.864679456054066 0.863292148251286 0.784706714028452 0.853720688992132 0.456789039805026
A6601 0.785393153907682 0.85558279169332 0.873194927603376 0.876121710690564 0.77641053376979 0.858612304866378 0.902259897753756 0.345046059951697
A6801 0.796116861964998 0.806405858569723 0.822107634722907 0.777402806102082 0.792279343182752 0.778764607666787 0.734059779045963 0.404535498049722
A6802 0.708803193290277 0.655037170119703 0.666484581014687 0.584541856137756 0.681291096088421 0.644092334637325 0.723328810853344 0.532628929491261
A7401 0.590436270932752 0.727747383539973 0.752356034118578 0.81747116731635 0.720010916097979 0.892878641649223 0.845223623901893 0.238971929588093
B0702 0.743046060450813 0.146823189779281 0.899322111445304 0.861929272798743 0.778139542472164 0.847649400401171 0.82975697832786 0.30292110081052
B0704 0.772362436465859 0.352791819188144 0.880261513185423 0.826382130549597 0.646895969694387 0.765265544271805 0.783468178127473 0.380053794619228
B0801 0.862072833396465 0.676465264878035 0.743760390619208 0.843359342628081 0.443144737842088 0.913754810914443 0.811547240925141 0.240713078596092
B1301 0.736098856585529 0.337216364875028 0.745291726132224 0.496786995585707 0.646143611151983 0.71496626245514 0.763677465225615 0.50476372334133
B1302 0.646010629324557 0.236612417261876 0.620458003839249 0.740889701896447 0.64942980755385 0.756716114507565 0.682080248387994 0.141381685114203
B1402 0.745923461144728 0.475097838412909 0.778128358050255 0.836266241026975 0.512621742464012 0.881914892467198 0.739700884471856 0.187945801058026
B1501 0.876166853821934 0.487648072608236 0.798277814077972 0.877112872114381 0.755369813424351 0.906213772571957 0.872417333076091 0.383634274197413
B1502 0.697894670623425 0.765931202678867 0.715184922274894 0.736506150325087 0.648484033441089 0.777928031480147 0.681402525914952 0.304749181780403
B1503 0.833449812207236 0.367332520972857 0.841125579978452 0.866945099582436 0.815481598432107 0.859831459089092 0.806514147653132 0.3333891756073
B1510 0.8747622643069 0.277800028549661 0.851002307174803 0.881689625884881 0.681473042600329 0.861899365466877 0.783602999421548 0.134319209312617
B1517 0.840215072787649 0.615665124445005 0.887998725182329 0.73933163967121 0.597073525506468 0.305859252195277 0.792473468586942 0.514447261392979
B1801 0.788865206524614 0.0640585437238997 0.925097438796034 0.883461540572245 0.777129085826104 0.926657865290588 0.875203905291596 0.575342090636267
B2705 0.603992639097608 0.557815144201395 0.729948846249309 0.685511527185098 0.718202525284467 0.623038617372828 0.724297695214736 0.602895095515224
B3501 0.697383037073682 0.300968744278023 0.816961959013776 0.720867931065208 0.721559207707966 0.80078579341032 0.772172380923019 0.471557036720727
B3503 0.664157272349104 0.209911098894124 0.75380919909336 0.738646395860493 0.708722484665501 0.699229232231143 0.725695319180332 0.332719133338013
B3507 0.705350356537231 0.278137562686802 0.867724159759168 0.794223994190395 0.703919358981624 0.855371384258633 0.772836992142197 0.50360555856861
B3701 0.480951538084682 0.241917357689072 0.619759961895376 0.59808089979605 0.527573818310047 0.632607765984509 0.629702495769281 0.334291557334868
B3801 0.743944908939115 0.557921930514174 0.850769565342509 0.806062509461095 0.748072973925335 0.825083059181931 0.803899847105389 0.413924158854086
B3802 0.819357109393289 0.431883683867865 0.834943049188238 0.8753373165687 0.603163265789026 0.871275052971043 0.803731396477666 0.496714143454943
B4001 0.817624662565608 0.168641628242791 0.830564206311124 0.792095508364514 0.753173672935382 0.841685259946024 0.825292222093201 0.12020668093099
B4002 0.862047380479636 0.236721691219841 0.884176493614549 0.875815382252258 0.819689733290542 0.905088974155084 0.846762405070137 0.438193909549396
B4006 0.765922767905847 0.20419267327728 0.765180378627755 0.825258766742273 0.719451236983379 0.870714524728127 0.818858562359576 0.357820937277994
B4201 0.85625819627978 0.332013593465104 0.88616651748564 0.887945763232648 0.834625926635148 0.866645979174219 0.851337166855545 0.320054065780424
B4402 0.671629367021363 0.149403096663494 0.734143214884499 0.596897253493279 0.535519032933249 0.730134350192573 0.718066333145656 0.39233040102477
B4403 0.600740857685179 0.133768188640313 0.529026014637165 0.532777364635983 0.511675579392066 0.642127223287972 0.518669985772349 0.441758244256622
B4501 0.579249128650155 0.132514966211247 0.839178541394462 0.755201315026886 0.724566728215039 0.766370707345146 0.671725842362996 0.358056654762669
B4601 0.777415939980085 0.781731282617603 0.854216819141838 0.831430041218113 0.783588544128688 0.878693654148371 0.689801660459563 0.492341804775715
B4901 0.799733648313212 0.035878143134993 0.819504443995291 0.835218178603081 0.664578897684208 0.781830672101644 0.800139423151025 0.319838627512824
B5001 0.676128895421009 0.14383337651016 0.689565393763915 0.773718019482836 0.694112701077123 0.641726414080534 0.683905025737685 0.325373471229282
B5101 0.758657305804241 0.384696959552664 0.818914846372023 0.898746482788856 0.788761809861245 0.854028918745794 0.898706136788483 0.408041890190328
B5201 0.712423182106895 0.391081527355857 0.597218099865944 0.709978109969267 0.664740497358508 0.649603758207387 0.662884312972677 0.325257879004717
B5301 0.795195654771774 0.300482776093841 0.824633145590044 0.864034706216308 0.692408793398236 0.868776321495189 0.881997447785058 0.476232375489714
B5401 0.739485680527303 0.21910185241239 0.785783178879051 0.825715899632241 0.666329633519279 0.797729396203704 0.849565168524361 0.495789197458722
B5501 0.858206257917772 0.204657280757465 0.92179278058189 0.872280019246682 0.773713884288103 0.729779208954071 0.859381224078215 0.354936983391965
B5502 0.804205645216503 0.128065647027115 0.826610500877069 0.863358194981156 0.689127551371695 0.801632989940133 0.69161263600008 0.297857397136157
B5601 0.818067061675812 0.0820836247370205 0.812654277494338 0.793707807746833 0.662307502342025 0.746741813782395 0.763959134967984 0.320653459322852
B5701 0.804464926901548 0.650975566640129 0.751690661873105 0.875758860963519 0.742152137960514 0.856091359704715 0.82627439224737 0.398699102608759
B5703 0.821922146094041 0.550973952621424 0.915999687596695 0.774415167859576 0.699093240494515 0.844427555333288 0.805579969624928 0.610723574255035
B5801 0.850567914483044 0.523160918124711 0.758982569583237 0.82271949755664 0.754140856148596 0.869794231458092 0.860811545286703 0.482080468763617
B5802 0.563541505286425 0.43156244733091 0.620228874720815 0.613362002146958 0.435800869304133 0.288835730446847 0.589552084478891 0.379268601306737
C0102 0.863685654939269 0.650826781236115 0.416207146773705 0.861724222674984 0.612062479003256 0.866199787085795 0.811795672178101 0.279918261832791
C0202 0.641538468166155 0.49837712759055 0.683970447050189 0.85394173104684 0.831757235807792 0.785893842067568 0.799269354830858 0.508537636543126
C0302 0.643199757844254 0.597414997104858 0.88923019095686 0.800960373665973 0.603415118114258 0.873123663720311 0.670622837253217 0.525522784542276
C0303 0.68840439052033 0.584620794351156 0.873671146034142 0.847008763952228 0.716290516242941 0.865173827532477 0.854218719153298 0.258627675584782
C0304 0.708710551986381 0.562901844367 0.871689578966578 0.866039978270765 0.665606107935266 0.847162564592575 0.837124374343145 0.181548640006805
C0401 0.835635303429129 0.605641613932324 0.161577606869592 0.913394694672005 0.890793037011411 0.847321490257302 0.914884636635445 0.429220741483828
C0403 0.736584114501233 0.627202215171415 0.120575102399406 0.924576745103139 0.863096307631966 0.744651992336316 0.874303599860637 0.399590815580719
C0501 0.83114536911494 0.667377418922535 0.0692194459290661 0.905612622402957 0.885623278182474 0.78865941633706 0.846976906345835 0.414255878496519
C0602 0.80208957985091 0.714259275643475 0.693658460227192 0.704214419427346 0.780310123662882 0.678416656371058 0.828551622970211 0.459183530612109
C0701 0.810572888677684 0.495992377103983 0.610712599514338 0.710848159961429 0.788928010272532 0.847836073643564 0.81053175758967 0.427631558655346
C0702 0.782893115390003 0.40710122851086 0.766069289389164 0.664046044176077 0.873836143614239 0.887648412612154 0.850945334054894 0.484436491377175
C0704 0.809721892233235 0.71429469128037 0.684212271968296 0.790245598998316 0.822409870768875 0.840733692485004 0.840063004397605 0.440494669714984
C0801 0.847048699191598 0.625413355317718 0.77362202291126 0.845681887398962 0.816532514330644 0.750684200297426 0.665330542749246 0.296718865140857
C0802 0.837567103111174 0.741848698671844 0.081642184322817 0.920361365789895 0.85127584550365 0.913122075314207 0.898874934732339 0.290558511727209
C1202 0.763052319793775 0.546718339445195 0.772157535244853 0.703583272549112 0.720287525983558 0.720186360486311 0.658302938866379 0.559168348626619
C1203 0.785297434157152 0.435752564534846 0.740180908207127 0.859275381373751 0.871803232049582 0.902231093549753 0.789047293667491 0.560586338916359
C1402 0.805951122096037 0.239082380546557 0.858638697074891 0.851357507867044 0.718376048873994 0.912067985933466 0.82419245773103 0.457005648668345
C1403 0.796764882376221 0.287674708408206 0.867668367928823 0.838079052870628 0.715285642250299 0.921552888713392 0.842635891058351 0.54362598567272
C1502 0.84226271302479 0.610264572215757 0.631692667560921 0.83638792051614 0.682507923637908 0.518162509409688 0.872575374077219 0.41645725498425
C1601 0.801933404270342 0.488755462680399 0.868147403048181 0.87646025019642 0.743672224283052 0.863495229462877 0.822420356282363 0.517822859114801
C1701 0.787112355275578 0.486347213781676 0.626112996112409 0.865079434921071 0.758701249779527 0.642976427854175 0.882726915505818 0.155588806028414
G0101 0.707240834843324 0.699937572145259 0.451343706231527 0.848049445537729 0.613187067336771 0.615299221064798 0.822594955479822 0.133393377476182
G0103 0.749343448023201 0.70237312223069 0.399105076150415 0.762613009976569 0.468098913623058 0.537193456466757 0.735791170690484 0.0925027112528658
G0104 0.802777036293603 0.588894212501853 0.548958570467287 0.807290205776014 0.514310417098531 0.50697111659801 0.769954339247349 0.146353165679216
Avg 0.736174003790993 0.49155630979842 0.7105957161545 0.77691572926684 0.688139961106416 0.765045531432611 0.767649856531276 0.374492155159748
