p1 p2 p3 p4 p5 p6 p7 p8 p9 p10
A3601 0.789258037979552 0.615682650739609 0.485332665221137 0.928254108534756 0.952142940799969 0.949288937330693 0.961570641037819 0.921762443065317 0.916361449480735 0.203188072863788
A6601 0.453956524417587 0.441470641210217 0.717728615988077 0.713348522846926 0.711365117013494 0.659145723992247 0.799140262838065 0.733960779435244 0.765408443979627 0.318218531802297
A6801 0.837681762950214 0.6356222483388 0.884861227477687 0.909840406382312 0.927272096939653 0.945421013100913 0.932556206390428 0.91076783353254 0.924088728290757 0.326469377396287
A6802 0.814554971894326 0.651505564455227 0.845693269429 0.904554296061221 0.90251925570634 0.910001860399489 0.929277993745327 0.926076502345983 0.935209530346686 0.559794117366148
A7401 0.591252121480021 0.638323076545394 0.887240758802054 0.882719135003378 0.934218053792209 0.948174157037653 0.933240697382422 0.892905635062284 0.91212193952875 0.197775638786401
B0702 0.79796758068869 0.0897484124601977 0.864806210529766 0.876770126913259 0.915436840347952 0.917918263934079 0.921527267811089 0.889974588947592 0.849673387418386 0.442142460064698
B0704 0.749243834767348 0.146028041456041 0.810105719124283 0.854574419101272 0.911627492236756 0.911433755968132 0.906177009547384 0.837200353500772 0.847986139817073 0.461628837428601
B0801 0.801937071805714 0.67088244963643 0.821141616474104 0.807740681702795 0.653652358124747 0.814927822068403 0.771530748275939 0.726734467004925 0.737582082039238 0.300275361778538
B1301 0.637705850502362 0.40506395574015 0.728163964679905 0.788060265526966 0.784242941907739 0.811582096371792 0.799387721936405 0.789996055971425 0.807885671106622 0.504457905910674
B1302 0.415950860456713 0.197125448056085 0.638021621782529 0.613138458671493 0.640178450426666 0.567763756279087 0.56235595973648 0.605897394210823 0.623580383347367 0.310381805594168
B1402 0.594154908846007 0.377838175601361 0.544639768120319 0.71414535218035 0.687331809430322 0.614992854668187 0.67727529564452 0.658413472116326 0.575686801133669 0.269781948491976
B1501 0.822593077832331 0.550218668453869 0.883940683433119 0.887595305639862 0.943206424517053 0.93207704774586 0.948512796774531 0.892614030047722 0.888588706959262 0.338687781708835
B1502 0.701272961462999 0.57781117196289 0.81874507342702 0.745172705364693 0.844051410738887 0.741674048760596 0.826855832909877 0.749685882912672 0.706996288124337 0.183413353843124
B1503 0.730778365303198 0.350136182220882 0.858173409195871 0.897070385615967 0.918372409993004 0.939084614071608 0.960272327100273 0.889247506271266 0.893998290548537 0.296517482481988
B1510 0.828140066007147 0.137618406258714 0.841256977497708 0.82379205224208 0.875011473528648 0.882522811765693 0.903517157035669 0.879560356742104 0.833498888214321 0.344740066052187
B1517 0.795133553523718 0.431880065752168 0.73454145499613 0.867744246632903 0.870212526484997 0.93248393013385 0.926662766439734 0.717904694532569 0.846754685253089 0.498279775156604
B1801 0.718581647010794 0.0909328626259722 0.871452751697753 0.860570253304035 0.875688386483057 0.905451695712047 0.928538351335518 0.91728125140724 0.880832470224454 0.441240017347534
B2705 0.806227227394513 0.295813335405744 0.863566616757818 0.931726987865479 0.924761340515969 0.924717005159957 0.933340388633461 0.929925854694526 0.901048107446734 0.709702756294416
B3501 0.830365407442758 0.20632675840987 0.872946769742908 0.894032070908407 0.895302459878234 0.938455054502346 0.935064037999302 0.903871093294826 0.874567517208588 0.483818007327132
B3503 0.632392586477402 0.0290609666789901 0.761308325005111 0.717885156562048 0.771141527804212 0.833657043070518 0.857256049044905 0.872292693015023 0.739810570075872 0.2640201731363
B3507 0.776687336789306 0.231009584979861 0.881737621453436 0.845408563205506 0.901128725119177 0.938442936276618 0.937526748172222 0.884436549092516 0.862781299581022 0.387779469528231
B3701 0.708673242114458 0.508608297393026 0.886959427775868 0.781021434129332 0.846006945501421 0.742308748743767 0.882530121839786 0.844043452251101 0.814366004752663 0.545814280524886
B3801 0.892528592950232 0.179879210416423 0.850361110885471 0.898510856758436 0.912733776168708 0.930540256144073 0.948447900961143 0.890152994161081 0.88400803434374 0.395838561296714
B3802 0.876226713935564 0.201871364374771 0.853635174326178 0.913858775967659 0.906525975038268 0.932449376726704 0.951425840844582 0.843237259388428 0.927061105897442 0.416796580999927
B4001 0.820011848827895 0.0174458777342187 0.882253213756758 0.902773628196712 0.90814937632253 0.933158185220156 0.950391791367567 0.892894817088464 0.910736576472543 0.138467324488483
B4002 0.788327046390229 0.0391781683575669 0.909757277764931 0.902657960404144 0.941708166494042 0.933917075370625 0.94624184405082 0.926453916668567 0.877225300566161 0.441464521661569
B4006 0.725459716781882 0.0467408968814863 0.873447078167537 0.906268332876352 0.933740579699543 0.915280187511704 0.928222780191436 0.930491462590828 0.839590682985515 0.364532080925741
B4201 0.846377746926426 0.137028804445174 0.836527192436851 0.872265322107879 0.925338866462982 0.940805145571202 0.941208032127298 0.899204867108441 0.843480031339585 0.454008013481095
B4402 0.781256457396654 0.0229122690338549 0.89773230282356 0.918330042488708 0.93941446155147 0.913977032471588 0.92824038257753 0.902545462246038 0.926815174981823 0.491828878532293
B4403 0.772972808566444 0.0220657158034527 0.881571043633236 0.906323552880132 0.924597025381489 0.902712427212384 0.91829933013555 0.894240161176351 0.916544936069214 0.497196994900432
B4501 0.675307823846953 0.118760243997734 0.859020596623938 0.900008905741181 0.896835596992281 0.931384773935364 0.929083383160988 0.912395388134757 0.857265877894271 0.425316404962309
B4601 0.836513832295296 0.710378020548485 0.798151070069567 0.756771423445603 0.83983085496608 0.929516807912584 0.869754696934794 0.889778418376625 0.755500344551128 0.478720320057133
B4901 0.766798274018257 0.0277842564738721 0.824241398807461 0.782199833661724 0.795194967022254 0.867239259398705 0.799731265964635 0.804729607253786 0.760997761136021 0.379104105859081
B5001 0.769034848101499 0.0548486184220213 0.779196546324824 0.833326419716758 0.886188683984064 0.840741374208977 0.8277782407727 0.864115722884494 0.812988645900704 0.406623120530971
B5101 0.729675864579866 0.365148965838438 0.76375572508161 0.890043734773292 0.930661191561234 0.863682180608036 0.896458503387744 0.88975714441685 0.877080373584405 0.515980286806271
B5201 0.764359975980529 0.648919905135741 0.825967891333582 0.749804599198261 0.846212188014827 0.676441890208121 0.814926840879335 0.714042146816814 0.753567961261374 0.659711919854896
B5301 0.842726493086365 0.307947459027684 0.905173453116907 0.904433196268165 0.924517222799055 0.921872400002752 0.922888132968641 0.92232378357999 0.88573491450217 0.55752494524412
B5401 0.758284346024239 0.139798434167333 0.910065769474036 0.899455965495009 0.925755526296699 0.911276985714552 0.89996523560921 0.874370557843643 0.871209185966028 0.51975959965739
B5501 0.845638547197066 0.17253632321756 0.862581401269784 0.882371693943983 0.890085467237669 0.911113807808507 0.883554696525591 0.896833127934135 0.782070490086442 0.428572619623847
B5502 0.823146912739177 0.144577500567358 0.919973730134152 0.891113816043216 0.883594559655383 0.927964200872485 0.910586139212259 0.892534271504188 0.78648604278898 0.305702002524538
B5601 0.81943021884968 0.102346866681502 0.907952129645779 0.889486751860328 0.894569024886904 0.929928416709525 0.904303817102048 0.856077217160454 0.760101298145135 0.270020676694981
B5701 0.841505245108834 0.560890365687876 0.884143885731812 0.880995657337897 0.915102168042349 0.933461705736214 0.934697041534916 0.93002693362357 0.908145146678955 0.3743954809339
B5703 0.663778533108445 0.447343140867972 0.845541755809345 0.878264174815671 0.879856142860527 0.93015137945608 0.944129486531124 0.905569816531961 0.890446155081754 0.46307506246171
B5801 0.805976735104985 0.507081748352656 0.607019142649485 0.852510167874743 0.832308540304786 0.884775568191565 0.893942909568102 0.944275464558108 0.90939138081453 0.550826416592289
B5802 0.646842631380292 0.459680473547355 0.798870363597968 0.817932628160111 0.836411590935916 0.855199295273145 0.805217713315315 0.777434852910395 0.84131866604675 0.505152189091641
C0102 0.871640225158148 0.54270493224677 0.486083899400099 0.823676547770821 0.913903591485468 0.900069412092855 0.887181343952879 0.86648118242757 0.701944692333287 0.173649636196671
C0202 0.718740784914502 0.504424990709526 0.841485757389764 0.831716714298561 0.860408669198853 0.890958576545019 0.883682799813603 0.902599196239928 0.889273074755379 0.454583464076253
C0302 0.607754836468779 0.557775512217582 0.811826166883419 0.75968589771078 0.864192027835474 0.931297481270566 0.828981863061519 0.856284658533273 0.749972432770274 0.505934844804342
C0303 0.686143867628202 0.52566681497877 0.866798862917307 0.808557372751414 0.875423850430381 0.904625316610702 0.899463743140329 0.909207256891077 0.878214732250452 0.355471294181162
C0304 0.692008700229385 0.472427049125597 0.866751406846243 0.796602216239784 0.874419679076739 0.907089761959127 0.921810916201011 0.914155493209798 0.857680771224625 0.281373123130637
C0401 0.835766905197084 0.528999763005761 0.217575857658992 0.863718964547565 0.916011817357294 0.912942493197903 0.92717329720673 0.910486104799184 0.872873606970752 0.534587693667156
C0403 0.71141280659685 0.774357068822309 0.475802362806222 0.81438070241721 0.910224148239214 0.897544128605332 0.852943879976998 0.853547847972677 0.909989724143503 0.604066042619139
C0501 0.840367357498082 0.623029833719033 0.27751988957427 0.820549935360256 0.865748882874933 0.89702868157816 0.923373271285642 0.869803825253133 0.908112527461708 0.541865428994826
C0602 0.807082759321301 0.722601142852748 0.799457851325738 0.777052999276154 0.888425330956358 0.882630398421407 0.882830983369432 0.88116853793329 0.840428400552025 0.606860916969744
C0701 0.699721252167087 0.414978716203332 0.871229815312954 0.739036585741102 0.861062652900907 0.833649355676289 0.792577444636701 0.829141904811918 0.794194297008963 0.455153332816284
C0702 0.839946969780552 0.460098237047639 0.860722509263165 0.834957754711166 0.896350147539796 0.881870941615318 0.922586611484472 0.93671093339153 0.830641338979745 0.484657365703548
C0704 0.748938259118916 0.7033048623577 0.773890333602804 0.625039495474635 0.709167203732043 0.793010299720775 0.757255617280212 0.770974279419845 0.809645016043367 0.757255617280212
C0801 0.847655903337046 0.427175677309669 0.913942993870511 0.79626898694301 0.852111255659854 0.936333028518889 0.923917409726282 0.894690818342785 0.799671639988312 0.411033902521341
C0802 0.839185429419198 0.637007026925278 0.127937576972421 0.84445000680498 0.874770060098008 0.898734903938357 0.938607233039173 0.889440307882495 0.850237472945942 0.328798758918313
C1202 0.806287251560857 0.537202301833839 0.736281815243623 0.783423407875913 0.739712245196479 0.880689061046295 0.875120285724861 0.844465764907635 0.862791428953848 0.510770604690028
C1203 0.782798056571113 0.404256975803404 0.769713301778475 0.753906698086486 0.82921824229304 0.889066829613026 0.848720712960621 0.86279287715848 0.780384199312742 0.625947700746697
C1402 0.79073580840694 0.298091871782071 0.729548928365664 0.784539164686347 0.920565640803339 0.929363949157612 0.881741823488076 0.904989022786155 0.814281666184664 0.488294182758913
C1403 0.814567995910742 0.373868200361432 0.707204475916818 0.783522795931341 0.950401386710333 0.938761800045603 0.883062741535723 0.908326819781514 0.821490890837345 0.596777590753012
C1502 0.695359232830029 0.558727802583739 0.861406398614426 0.826804320640323 0.890394886935856 0.901562265696943 0.854528625017509 0.845974069963831 0.807287119459159 0.452791547559121
C1601 0.811174021433274 0.569807604370824 0.88053554591783 0.848594227881916 0.904037323953175 0.939969437022922 0.909113869258658 0.833085440699751 0.881857057878465 0.602054899759567
C1701 0.720343224888778 0.420485320640913 0.801019471157643 0.7896374985253 0.8093781978753 0.845380289327546 0.844638274151149 0.816468836740951 0.880976775003933 0.206279960962889
G0101 0.599422968279183 0.815445509747732 0.51252281068715 0.843628523953191 0.895291208122808 0.891031843151398 0.825713134050635 0.756446574967001 0.893430581836876 0.226144654884866
G0103 0.479804489281736 0.749289738430714 0.539457454714882 0.775880882712755 0.885037982211935 0.780691613986564 0.770075964423869 0.683111318863586 0.845386969852531 0.192924416314762
G0104 0.581231708875461 0.70130728698232 0.71716358902616 0.842443830942559 0.873122195481253 0.880527800685724 0.756517021145529 0.685007800715085 0.825760565167745 0.209293490738217
Avg 0.750362528397392 0.437001708395501 0.783818563405338 0.834548185434303 0.879246449733596 0.889458946136667 0.880188792692512 0.860867250308434 0.850179414737514 0.409882754620457
