Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Unfolded Protein Response	35/113	8.437157e-05	3.835071e-04	0	0	2.306347e+00	2.163418e+01	EIF4A2;EIF4A1;CEBPB;SHC1;FKBP14;DCTN1;HSP90B1;EDC4;EXOSC5;EXOSC10;KHSRP;KIF5B;SEC31A;HSPA9;NOP56;NPM1;HSPA5;IMP3;FUS;SLC30A5;ASNS;EEF2;PDIA6;YWHAZ;CNOT4;TUBB2A;SPCS1;XPOT;DKC1;PSAT1;CNOT2;DDIT4;NHP2;ATP6V0D1;EIF4G1
MSigDB_Hallmark_2020	Apical Junction	53/200	1.760542e-04	7.097002e-04	0	0	1.855779e+00	1.604268e+01	ITGB1;B4GALT1;CTNND1;INPPL1;ACTB;ACTG2;ACTG1;TIAL1;SGCE;AKT2;RAC2;YWHAH;GAMT;CAP1;ACTN1;MMP2;SHROOM2;ACTN4;TUBG1;VAV2;ACTA1;RASA1;EXOC4;FSCN1;MYH9;MYL9;ARHGEF6;SHC1;INSIG1;ATP1A3;GNAI1;EGFR;MYL12B;GNAI2;LIMA1;EPB41L2;CTNNA1;SYMPK;PLCG1;SLIT2;JUP;PBX2;MSN;PARVA;MAPK14;PTK2;TJP1;MAPK11;ACTC1;TAOK2;ZYX;TGFBI;CRAT
MSigDB_Hallmark_2020	Cholesterol Homeostasis	25/74	1.868002e-04	7.097002e-04	0	0	2.618859e+00	2.248414e+01	ERRFI1;LPL;HMGCR;GNAI1;ACTG1;FADS2;ATXN2;PDK3;S100A11;FDFT1;FDPS;ABCA2;GSTM2;HMGCS1;ANXA5;CYP51A1;SREBF2;PNRC1;SQLE;SCD;FASN;CTNNB1;TRIB3;DHCR7;LGMN
MSigDB_Hallmark_2020	TGF-beta Signaling	20/54	1.987160e-04	7.097002e-04	0	0	3.017463e+00	2.571975e+01	BCAR3;ACVR1;TGIF1;SMAD1;WWTR1;BMPR2;SMAD3;IFNGR2;UBE2D3;XIAP;RHOA;PPP1CA;SKI;TJP1;CDK9;APC;CTNNB1;JUNB;SPTBN1;TRIM33
MSigDB_Hallmark_2020	Myc Targets V2	20/58	5.898109e-04	1.922439e-03	0	0	2.699188e+00	2.007038e+01	NOP56;DDX18;NPM1;NIP7;PRMT3;PLK1;PPAN;IMP4;NOC4L;PA2G4;HK2;HSPD1;EXOSC5;LAS1L;MRTO4;MCM4;MCM5;UTP20;MAP3K6;FARSA
MSigDB_Hallmark_2020	Hypoxia	51/200	6.151805e-04	1.922439e-03	0	0	1.760474e+00	1.301623e+01	ERRFI1;CITED2;HEXA;HDLBP;PYGM;IRS2;ENO1;HK2;HK1;GYS1;DPYSL4;PDK3;IDS;SLC37A4;IER3;BNIP3L;ANXA2;IGFBP3;PRKCA;MIF;F3;PPP1R3C;DDIT4;MYH9;ANGPTL4;ALDOA;GAPDH;KDM3A;PFKFB3;AK4;NDRG1;EGFR;PRDX5;GPC1;PGK1;HMOX1;JUN;DTNA;HSPA5;CAV1;KLHL24;CP;PNRC1;KLF7;PFKL;KLF6;P4HA2;CCNG2;TGFBI;PAM;PFKP
MSigDB_Hallmark_2020	Androgen Response	29/100	1.081595e-03	3.181162e-03	0	0	2.096378e+00	1.431683e+01	B4GALT1;INSIG1;ABHD2;STK39;GNAI3;HMGCR;NDRG1;MYL12A;RPS6KA3;ANKH;ZMIZ1;PTK2B;ITGAV;B2M;FADS1;ABCC4;XRCC6;HMGCS1;XRCC5;TMEM50A;ELOVL5;ACTN1;DHCR24;ACSL3;PA2G4;APPBP2;VAPA;SCD;CENPN
MSigDB_Hallmark_2020	Myogenesis	48/200	3.337146e-03	9.269850e-03	0	0	1.622410e+00	9.252019e+00	EIF4A2;ITGB1;APP;TAGLN;LAMA2;FHL1;MYL6B;PYGM;ATP2A1;CNN3;ABLIM1;AKT2;DMD;MYH11;CKB;SPTAN1;MEF2A;WWTR1;SVIL;NQO1;FDPS;DTNA;GSN;ATP6AP1;TPM3;GPX3;AGL;TPM2;IGFBP3;IFRD1;TSC2;PDE4DIP;SORBS1;NAV2;MYL4;GNAO1;ACTA1;RIT1;ACTC1;DES;KLF5;PPP1R3C;SCD;COL6A2;MYH9;LPIN1;CRAT;PFKM
MSigDB_Hallmark_2020	Adipogenesis	47/200	5.576591e-03	1.394148e-02	0	0	1.577642e+00	8.186667e+00	SLC27A1;MTCH2;PHLDB1;ECHS1;PFKFB3;RETSAT;LPL;GHITM;UQCR10;COX6A1;TOB1;ADCY6;DDT;UBC;G3BP2;UBQLN1;ACADM;MAP4K3;YWHAG;ABCA1;BCKDHA;GADD45A;RIOK3;GPX3;IMMT;SDHC;CMBL;SORBS1;DNAJC15;ACLY;POR;PFKL;UCK1;GPAM;ACOX1;CCNG2;GPD2;CAT;NMT1;PDCD4;ANGPTL4;ESYT1;ACO2;DHCR7;ALDOA;TKT;CRAT
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	47/200	5.576591e-03	1.394148e-02	0	0	1.577642e+00	8.186667e+00	ITGB1;TAGLN;COPA;SERPINE2;MCM7;LAMA2;LRP1;TNC;HTRA1;PLOD2;PVR;NID2;LOXL2;CALD1;GPC1;DPYSL3;SERPINH1;FLNA;QSOX1;ITGAV;MSX1;SLIT2;MEST;PDLIM4;JUN;POSTN;CADM1;TPM4;DST;GADD45A;IGFBP3;TPM2;MMP2;TPM1;FN1;DKK1;ACTA2;MMP14;COL6A2;TGFBI;VIM;MYL9;SCG2;FERMT2;MATN3;SNTB1;MATN2
MSigDB_Hallmark_2020	Interferon Alpha Response	25/97	1.190921e-02	2.835526e-02	0	0	1.779821e+00	7.885397e+00	IFITM3;LGALS3BP;IFITM1;IFITM2;CNP;DDX60;HELZ2;IFIH1;NUB1;DHX58;MVB12A;B2M;SP110;MX1;TAP1;HLA-C;EIF2AK2;ISG15;TDRD7;NMI;PARP14;MOV10;PSMA3;PSME2;TXNIP
MSigDB_Hallmark_2020	Hedgehog Signaling	11/36	2.512369e-02	5.709929e-02	0	0	2.252050e+00	8.296427e+00	TLE3;TLE1;HEY1;DPYSL2;PTCH1;RASA1;SLIT1;CRMP1;MYH9;GLI1;SCG2
MSigDB_Hallmark_2020	Oxidative Phosphorylation	43/200	3.370816e-02	7.327860e-02	0	0	1.404521e+00	4.761347e+00	ACADVL;ECHS1;ALAS1;RETSAT;HCCS;COX7A2;UQCR10;TCIRG1;COX6A1;PHB2;LDHB;OPA1;TIMM17A;MFN2;ATP6V1H;ACADM;ATP6V1E1;HSPA9;BCKDHA;PDHX;CPT1A;PDHA1;ATP6AP1;NDUFA3;NDUFA1;NDUFC2;IMMT;SDHC;ATP1B1;AFG3L2;GLUD1;OXA1L;COX7A2L;POR;NDUFS8;SUCLA2;NDUFS6;OGDH;CYCS;UQCRC2;ACO2;SLC25A5;ATP6V0C
MSigDB_Hallmark_2020	Spermatogenesis	30/135	4.607100e-02	9.598124e-02	0	0	1.463889e+00	4.505225e+00	CLPB;IDE;NCAPH;CCT6B;TUBA3C;PRKAR2A;NEK2;PAPOLB;IP6K1;ZC3H14;BUB1;TLE4;SLC12A2;GSTM3;PDHA2;HSPA1L;PARP2;STRBP;GAD1;HSPA2;TSN;MTOR;IFT88;DBF4;CDK1;KIF2C;LPIN1;STAM2;EZH2;CDKN3
MSigDB_Hallmark_2020	Complement	42/200	4.956918e-02	9.876609e-02	0	0	1.362671e+00	4.093989e+00	DOCK4;CEBPB;GMFB;USP16;LRP1;DOCK9;PREP;GNAI3;PSEN1;LIPA;GNAI2;DOCK10;CASP9;PPP2CB;PPP4C;PCLO;CSRP1;LAMP2;FYN;RCE1;LTA4H;JAK2;SH2B3;CTSC;GCA;HSPA5;ERAP2;ANXA5;FN1;CP;F3;DUSP6;EHD1;MMP14;GPD2;GNB2;GNB4;CALM3;CALM1;RAF1;LGMN;HSPA1A
MSigDB_Hallmark_2020	Fatty Acid Metabolism	34/158	5.333369e-02	9.876609e-02	0	0	1.404988e+00	4.118283e+00	ACADVL;ECHS1;RETSAT;ECI2;ODC1;RAP1GDS1;HSD17B4;HCCS;PTPRG;CRYZ;ACADM;GLUL;YWHAH;CPT1A;GABARAPL1;HSP90AA1;PDHA1;HMGCS1;ELOVL5;SDHC;ACSL4;DHCR24;MIF;UGDH;SUCLA2;ACOX1;GPD2;FASN;APEX1;ERP29;ACO2;ALDOA;CRAT;METAP1
MSigDB_Hallmark_2020	UV Response Up	34/158	5.333369e-02	9.876609e-02	0	0	1.404988e+00	4.118283e+00	FEN1;ALAS1;CNP;AMD1;TGFBRAP1;HNRNPU;DDX21;HSPA13;STIP1;DNAJB1;BSG;HMOX1;MSX1;JUNB;YKT6;KLHDC3;PARP2;GPX3;TAP1;ASNS;HSPA2;TUBA4A;NFKBIA;PTPRD;DNAJA1;MMP14;EIF2S3;NAT1;PSMC3;PRPF3;TMBIM6;NPTXR;IL6ST;ALDOA
MSigDB_Hallmark_2020	UV Response Dn	31/144	6.238365e-02	1.113994e-01	0	0	1.405350e+00	3.899075e+00	YTHDC1;CITED2;INSIG1;PTPRM;SYNE1;SIPA1L1;GRK5;ZMIZ1;SPOP;FYN;PIAS3;SMAD3;IGFBP5;ANXA2;CAV1;ANXA4;NEK7;ATRX;PRKCA;NR1D2;SYNJ2;ATP2B1;CDC42BPA;MAPK14;F3;RUNX1;VAV2;TJP1;PLCB4;MAP1B;DLC1
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	11/42	7.100215e-02	1.184000e-01	0	0	1.815517e+00	4.802125e+00	FZD1;NCSTN;KAT2A;HEY1;PTCH1;DVL2;AXIN1;CTNNB1;CSNK1E;DKK1;GNAI1
MSigDB_Hallmark_2020	heme Metabolism	41/200	7.103999e-02	1.184000e-01	0	0	1.321371e+00	3.494383e+00	ALDH1L1;ABCB6;DCUN1D1;TRAK2;ADD2;AGPAT4;SPTA1;PRDX2;SDCBP;SEC14L1;RNF19A;BSG;CDC27;LAMP2;BTRC;FBXO7;RBM5;ATP6V0A1;RBM38;BNIP3L;ARHGEF12;RIOK3;SMOX;EIF2AK1;NEK7;FOXJ2;ASNS;MBOAT2;RAD23A;GAPVD1;KLF3;EPOR;KLF1;MYL4;KAT2B;P4HA2;CAT;RANBP10;LPIN2;EZH1;PICALM
MSigDB_Hallmark_2020	Pperoxisome	23/104	7.668590e-02	1.236869e-01	0	0	1.453817e+00	3.733456e+00	TOP2A;FIS1;FDPS;ABCD3;RETSAT;CADM1;ELOVL5;ECI2;HSD17B4;ACSL4;DHCR24;IDE;PRDX5;MSH2;ACOX1;PEX6;ERCC1;CAT;TSPO;PABPC1;CRAT;FADS1;YWHAH
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	40/200	9.922489e-02	1.503407e-01	0	0	1.280612e+00	2.958683e+00	CEBPB;PFKFB3;B4GALT1;TNC;RNF19B;IRS2;RELA;IFIH1;DNAJB4;NAMPT;HES1;JUNB;IER3;MCL1;ABCA1;DUSP4;TGIF1;JUN;EGR2;SMAD3;GADD45A;PLK2;IFNGR2;GFPT2;TAP1;CFLAR;ATP2B1;KLF4;F3;PNRC1;KLF2;EHD1;NFKBIA;PER1;KLF6;MARCKS;TUBB2A;KLF9;IL6ST;NFE2L2
MSigDB_Hallmark_2020	Interferon Gamma Response	40/200	9.922489e-02	1.503407e-01	0	0	1.280612e+00	2.958683e+00	IFITM3;LGALS3BP;IFITM2;SPPL2A;DDX60;HIF1A;HELZ2;IFIH1;RNF213;PSMB2;NAMPT;DHX58;STAT4;METTL7B;RIPK1;JAK2;B2M;CMKLR1;SP110;STAT1;STAT3;MX1;HLA-B;EIF2AK2;TAP1;ISG15;TDRD7;HLA-A;NMI;PARP14;NUP93;NFKBIA;PSMA3;PSMA2;OAS3;PELI1;PSME2;TXNIP;RAPGEF6;PFKP
MSigDB_Hallmark_2020	Xenobiotic Metabolism	39/200	1.350836e-01	1.986523e-01	0	0	1.240383e+00	2.483076e+00	CYFIP2;ALAS1;RETSAT;ATP2A2;ARPP19;DDT;HMOX1;ACP2;PTGDS;GSTM4;NQO1;GABARAPL1;PMM1;JUP;ELOVL5;SMOX;GSS;GAD1;DCXR;SSR3;DHPS;DHRS1;PGD;CYP27A1;UGDH;TPST1;POR;PINK1;MTHFD1;NPC1;ACOX1;CAT;NMT1;TMBIM6;ACO2;BCAT1;GART;LPIN2;EPHA2
MSigDB_Hallmark_2020	Bile Acid Metabolism	23/112	1.435505e-01	2.050722e-01	0	0	1.322501e+00	2.567064e+00	ABCA1;BCAR3;ABCA2;ABCD3;PEX19;RETSAT;ABCA6;PNPLA8;ABCA3;PIPOX;HSD17B4;BBOX1;DHCR24;PEX26;KLF1;CYP27A1;FADS2;PRDX5;NPC1;PEX6;CAT;PFKM;FADS1
MSigDB_Hallmark_2020	p53 Pathway	38/200	1.792739e-01	2.489915e-01	0	0	1.200675e+00	2.063768e+00	CYFIP2;APP;CCNK;POM121;STEAP3;PCNA;RETSAT;ABHD4;RPS27L;RNF19B;SLC3A2;NDRG1;TOB1;RRP8;ZFP36L1;LDHB;SEC61A1;SERTAD3;MKNK2;HMOX1;SFN;IER3;JUN;PMM1;PRMT2;GADD45A;PLK2;DCXR;DNTTIP2;WWP1;TAP1;KLF4;PTPN14;WRAP73;DDIT4;TXNIP;TRIB3;EPHA2
MSigDB_Hallmark_2020	Angiogenesis	8/36	2.269764e-01	3.067249e-01	0	0	1.460765e+00	2.166181e+00	APP;POSTN;LPL;ITGAV;MSX1;PTK2;SERPINA5;VAV2
MSigDB_Hallmark_2020	Estrogen Response Early	36/200	2.928271e-01	3.852988e-01	0	0	1.122780e+00	1.378968e+00	B4GALT1;ABHD2;SLC1A1;RHOBTB3;ADCY1;CELSR2;TOB1;AFF1;ABLIM1;FAM102A;CALCR;RPS6KA2;SFN;HES1;JAK2;FDFT1;MICB;SVIL;TFAP2C;KDM4B;ELOVL5;ABCA3;ELOVL2;AMFR;KAZN;GAB2;NAV2;KLF4;IL17RB;TUBB2B;MED24;FASN;DLC1;UNC119;DHCR7;IL6ST
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	9/49	4.103048e-01	5.260318e-01	0	0	1.149877e+00	1.024374e+00	PRDX2;NQO1;SBNO2;GPX3;CAT;ERCC2;TXN;JUNB;PFKP
MSigDB_Hallmark_2020	Notch Signaling	6/32	4.292470e-01	5.365587e-01	0	0	1.179267e+00	9.973335e-01	FZD1;KAT2A;FBXW11;FZD7;HES1;PRKCA
MSigDB_Hallmark_2020	Coagulation	22/138	5.899504e-01	7.094717e-01	0	0	9.686877e-01	5.111928e-01	GSN;WDR1;LRP1;PEF1;MMP2;USP11;F12;PREP;HTRA1;FN1;F3;DUSP6;CASP9;KLF7;MMP14;CSRP1;GNB2;LAMP2;FYN;LTA4H;RAC1;LGMN
MSigDB_Hallmark_2020	Apical Surface	7/44	5.959562e-01	7.094717e-01	0	0	9.664458e-01	5.002208e-01	APP;GSTM3;B4GALT1;SHROOM2;ADAM10;ATP6V0A4;BRCA1
MSigDB_Hallmark_2020	Estrogen Response Late	31/200	6.600801e-01	7.675350e-01	0	0	9.365041e-01	3.890183e-01	TOP2A;MOCS2;ABHD2;CELSR2;TOB1;AFF1;SERPINA5;SLC2A8;CDC20;FAM102A;CALCR;RPS6KA2;SFN;CKB;JAK2;MEST;FDFT1;MICB;TFAP2C;ELOVL5;ABCA3;CAV1;DCXR;AMFR;KLF4;IL17RB;UGDH;PDCD4;KIF20A;DHCR7;IL6ST
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	13/87	6.846954e-01	7.780629e-01	0	0	8.970719e-01	3.397940e-01	ACVRL1;JUN;STAT1;IFNGR2;STAT3;PTPN11;TYK2;OSMR;CBL;IL17RB;HMOX1;IL6ST;STAM2
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	30/199	7.184669e-01	7.982965e-01	0	0	9.060149e-01	2.995609e-01	IFITM3;CYFIP1;RNH1;BMPR2;AHNAK;ODC1;LCLAT1;NDRG1;HK2;SPRED2;GLIPR2;SNX9;ITGAV;WLS;GABARAPL1;RABGAP1L;ANXA4;SWAP70;PTCH1;HUWE1;RHOH;ETV4;IGF2R;SERPINB6;MYO1E;KLF6;SNX14;COL6A1;BCL2L1;PLEC
MSigDB_Hallmark_2020	Pancreas Beta Cells	5/40	8.065594e-01	8.766950e-01	0	0	7.294061e-01	1.568061e-01	SPCS1;STXBP1;PAK3;SRP9;INS
MSigDB_Hallmark_2020	KRAS Signaling Up	28/200	8.431245e-01	8.969409e-01	0	0	8.302025e-01	1.416663e-01	MTMR10;TOR1AIP2;CBL;HDAC9;RBM4;ANKH;GPNMB;AKT2;TSPAN7;FBXO4;SOX9;CMKLR1;RABGAP1L;JUP;PEG3;IGFBP3;GFPT2;ETV1;KLF4;ETV4;DUSP6;ETV5;PTBP2;ZNF639;STRN;ANGPTL4;AVL9;TRIB2
MSigDB_Hallmark_2020	Allograft Rejection	26/200	9.212502e-01	9.596357e-01	0	0	7.614801e-01	6.245933e-02	BRCA1;RPL9;HIF1A;HDAC9;EGFR;IKBKB;STAT4;FLNA;JAK2;B2M;RPL39;SOCS5;NPM1;NOS2;STAT1;IFNGR2;TAP1;TRAF2;RPS3A;HLA-A;HLA-E;DEGS1;BCAT1;EIF4G3;EIF3D;EIF3A
MSigDB_Hallmark_2020	Inflammatory Response	22/200	9.878652e-01	9.999724e-01	0	0	6.289233e-01	7.678539e-03	ABCA1;IFITM1;CALCRL;IFNGR2;GNAI3;EIF2AK2;ATP2A2;NMI;PSEN1;ATP2B1;OSMR;HIF1A;F3;PVR;RELA;NFKBIA;MMP14;KLF6;AXL;NAMPT;RAF1;CMKLR1
MSigDB_Hallmark_2020	KRAS Signaling Dn	14/200	9.999724e-01	9.999724e-01	0	0	3.818853e-01	1.052708e-05	GAMT;EPHA5;BARD1;TENM2;GTF3C5;MAST3;MX1;GPR3;CELSR2;MFSD6;ACTC1;STAG3;KLHDC8A;GPRC5C
